Collection Name	Collection Alias	Items Owned By	Ownership Confirmed	Collection Uploaded By	Upload Confirmed	Collection Currently Managed By	Management Confirmed	Primary Contact Name	Primary Contact Email	Size of Collection (GB)	Total Number of Items in Collection	Types of Files in Collection	"""Users"" that include the Collection"	Other Notes about Collection
Louisiana State Museum Costumes and Textiles Collection	/LCT	Louisiana State Museum	Contact email, logical?								274		CDM\120701user13; CDM\120701user23	
Louisiana State Museum Historical Map Collection	/LHC	Louisiana State Museum	Contact email, logical?								180		CDM\120701user13; CDM\120701user23	
Natchitoches Cane River Civil Rights Oral Histories - Louisiana State Museum	/LOH	Louisiana State Museum	From Landing Page								192		CDM\120701user13; CDM\120701user23	Landing page not customized.
Paintings from the Louisiana State Museum	/LPS	Louisiana State Museum	From contact info and metadata								715		CDM\120701user13; CDM\120701user23	Landing page not customized.
Louisiana State Museum Carnival Collection	/LSM_CCC	Louisiana State Museum	Contact email, logical?								668		CDM\120701user13; CDM\120701user23	
Louisiana State Museum W.P.A. French Quarter Architectural Record	/LSM_FQA	Louisiana State Museum	Contact email, logical?								321		CDM\120701user13; CDM\120701user23	
Louisiana State Museum Hurricane Katrina Oral History Project	/LSM_KOH	Louisiana State Museum	Contact email, logical?								41		CDM\120701user13; CDM\120701user23	
Louisiana State Museum Photography Collection	/LSM_MPC	Louisiana State Museum	Contact email, logical?								193		CDM\120701user13; CDM\120701user23	
Louisiana State Museum Newcomb College Arts and Crafts	/LSM_NAC	Louisiana State Museum	Logical?								387		CDM\120701user13; CDM\120701user23	Published; unlisted
Louisiana State Museum Currency Collection	/LSM_NCC	Louisiana State Museum	Contact email, logical?								285		CDM\120701user13; CDM\120701user23	
Olide Schexnayder Collection	/OSC	Louisiana State Museum	From contact info and metadata								187		CDM\120701user13; CDM\120701user23	Landing page not customized.
Louisiana State Museum Trade Labels	/p120701coll18	Louisiana State Museum	Logical?								330		CDM\120701user13; CDM\120701user23 	Published; unlisted
Records of the French Superior Council (1714-1769)	/p15140coll60	Louisiana State Museum	From contact info and metadata								723		CDM\120701user13 	Landing page not customized.
Records of the Spanish Cabildo (1769-1803)	/p16313coll83	Louisiana State Museum	From metadata								251		CDM\120701user13	Published; unlisted. Landing page not customized.
Robert S.Maestri Photograph Collection	/RMC	Louisiana State Museum	From contact info and metadata								830		CDM\120701user13; CDM\120701user23	Landing page not customized
Rowles Stereograph Collection	/RSP	Louisiana State Museum	From contact info and metadata								381		CDM\120701user13; CDM\120701user23	Landing page not customized
Robert Tebbs Photograph	/RTC	Louisiana State Museum	From contact info and metadata								345		CDM\120701user13; CDM\120701user23	Landing page not customized
Jesuit scrapbooks from the New Orleans Province	/JSN	Loyola	From Landing Page								260		CDM\120701user03; CDM\120701user23	
Loyola University Maroon	/LMNP01	Loyola	From Landing Page								22059		CDM\120701user03 	
Loyola University New Orleans Electronic Theses	/LOYOLA_ETD	Loyola	From Landing Page								181		CDM\120701user03; CDM\120701user23	
Anthony J. Stanonis Pamphlet Collection	/p120701coll17	Loyola	From Landing Page								34		CDM\120701user03; CDM\120701user23	
Lafcadio Hearn Correspondence	/p120701coll9	Loyola	From Landing Page								61		CDM\120701user03; CDM\120701user23	
Germany’s Wild Medicinal Plants (Deutschlands wildwachsende Arzney-Pflanzen)	/p16313coll20	Loyola	From Landing Page								49		CDM\120701user03	No way to the landing page directly from the browse page.
John Gould's Birds of Great Britain	/p16313coll24	Loyola	From Landing Page								37		CDM\120701user03	
Loyola University New Orleans University Photographs Collection	/p16313coll28	Loyola	From Landing Page								6738		CDM\120701user03	
Louis J. Twomey, S.J. Collection	/p16313coll48	Loyola	web search								0		CDM\120701user03 	Empty; unpublished; unlisted.
Loyola University New Orleans Special Collections and Archives Online	/p16313coll5	Loyola	From Landing Page								287		CDM\120701user03	
Loyola University New Orleans Community and Resilience Collection	/p16313coll87	Loyola	From banner								0		CDM\120701user03	Published; but empty and unlisted.
Loyola University New Orleans Scrapbook Collection	/p16313coll91	Loyola	From Landing Page								2		CDM\120701user03	Was not listed in spreadsheet
New Orleans Review Collection	/p16313coll93	Loyola	Email with Elizabeth Kelly											Was not listed in spreadsheet
History of Loyola Athletics [Title changed to: Loyola University New Orleans Athletics Collection]	/p120701coll27	Loyola?	Email with Elizabeth Kelly								0		CDM\120701user03; CDM\120701user23	Not published; Not listed
Joseph-Auren Cornet, F.S.C., Collection	/p120701coll28	Loyola?	User list?								0		CDM\120701user03; CDM\120701user23	Published; but empty and unlisted
Loyola University New Orleans Finding Aids	/p16313coll44	Loyola?	Logical?								102		CDM\120701user03	
Frances B. Johnston Photograph Collection	/FJC	LSM	From Item Metadata								438		CDM\120701user13; CDM\120701user23	Landing page not customized.
George Francois Mugnier Collection	/GFM	LSM	From Item Metadata								1174		CDM\120701user13; CDM\120701user23	Not customized--uncertain ownership.
John Norris Teunisson Photographs	/JNT	LSM?	From Item Metadata	LSM	User list?						467		CDM\120701user13; CDM\120701user23	
Louisiana Science and Technology Collection	/LST	LSM?	web search	LSM	User list?						0		CDM\120701user13; CDM\120701user23	Published; but empty and unlisted.
Louisiana State Museum Historical Center	/p15140coll22	LSM?	Logical?								8		CDM\120701user13	Unpublished; unlisted.
Beachrock Research Slides of Richard J. Russell Collection	/BRS	LSU	From Landing Page								497		CDM\120701user04; CDM\120701user23	
Integration and the Black Experience at LSU	/IBE	LSU	From Landing Page								30		CDM\120701user04; CDM\120701user23	Missing navigation tabs. Rename according to OH new titles? Does it really have 30 items?
Maps of Louisiana Collection	/LMP	LSU	From Landing Page								56		CDM\120701user04; CDM\120701user23	
Actors and Musicians Photographs, 1880-1920	/LSU_ACT	LSU	From Landing Page								192		CDM\120701user04; CDM\120701user23	
Historic Images of Baton Rouge from LSU Libraries	/LSU_BRT	LSU	From Landing Page								14		CDM\120701user04; CDM\120701user23	
Early Louisiana French Correspondence	/LSU_CFF	LSU	From Landing Page								527		CDM\120701user04; CDM\120701user23	
Charles L. Thompson Photographs	/LSU_CLT	LSU	From Landing Page								19		CDM\120701user04; CDM\120701user23	
Chickamauga and Chattanooga National Military Park Photographs	/LSU_CNP	LSU	From Landing Page								87		CDM\120701user04; CDM\120701user23	
Civil War Photograph Album, 1862-1900	/LSU_CWP	LSU	From Landing Page								402		CDM\120701user04; CDM\120701user23	
Donn Young Photographs	/LSU_DYP	LSU	From Landing Page								285		CDM\120701user04; CDM\120701user23	
T. Harry Williams Center for Oral History Four Corners of Louisiana Collection	/LSU_FCC	LSU	From metadata								5		CDM\120701user04; CDM\120701user23	Published; unlisted. 
George C. Strong Photograph Album	/LSU_GCS	LSU	"From ""browse all"" page"								44		CDM\120701user04; CDM\120701user23	
George Francois Mugnier New Orleans Scenes	/LSU_GFM	LSU	From Landing Page								61		CDM\120701user04; CDM\120701user23	
G. H. Suydam Photograph Album	/LSU_GSC	LSU	From Landing Page								60		CDM\120701user04; CDM\120701user23	"""Home"" navigation was broken; fixed it."
Huey P. Long Photograph Album, 1928-1935	/LSU_HPL	LSU	From Landing Page								31		CDM\120701user04; CDM\120701user23	
John James Audubon in Louisiana	/LSU_JJA	LSU	From Landing Page								39		CDM\120701user04; CDM\120701user23	
Louis Hasslemans' Musicians Photographs	/LSU_LHC	LSU	From Landing Page								47		CDM\120701user04; CDM\120701user23	
Louisiana Newspaper Access Program - LaNeAP	/LSU_LNP	LSU	From Landing Page								3230		CDM\120701user04; CDM\120701user23	Are these duplicated in the DLNP/NDNP materials now? The landing page doesn't make that clear.
Marshall Dunham Photograph Album	/LSU_MDP	LSU	From Landing Page								600		CDM\120701user04; CDM\120701user23	
Mississippi River Flood of 1927 Photograph Album	/LSU_MRF	LSU	From Landing Page								215		CDM\120701user04; CDM\120701user23	
Natchez, MS	/LSU_NMI	LSU	From Landing Page								35		CDM\120701user04; CDM\120701user23	Published; unlisted
New Orleans Centennial Exposition Stereoscopic Views	/LSU_NOE	LSU	From Landing Page								195		CDM\120701user04; CDM\120701user23	
Louisiana Ecology and Conservation, The Percy Viosca Jr. Collection	/LSU_PVC	LSU	From Item Metadata								1097		CDM\120701user04; CDM\120701user23	
LSU Libraries' Rare Books Collection - Selected materials	/LSU_RBC	LSU	From Landing Page								535		CDM\120701user04; CDM\120701user23	Published; unlisted
T. Harry Williams Center for Oral History Floods, Storms and Levee Breaks	/LSU_RBO	LSU	From metadata								7		CDM\120701user04; CDM\120701user23	Published; unlisted. 
LSU Special Collections Online	/LSU_SCE	LSU	From Landing Page								100		CDM\120701user04; CDM\120701user23	
Thomas H. and Joan W. Gandy Photograph Collection	/LSU_TJP	LSU	From Landing Page								161		CDM\120701user04; CDM\120701user23	
LSU University Archives Photographs Collection	/LSU_UAP	LSU	From Landing Page								1239		CDM\120701user04; CDM\120701user23	Published; but link from collection shows no results
John Langdon Ward Lantern Slides	/LSU_WLS	LSU	From Landing Page								107		CDM\120701user04; CDM\120701user23	
Medieval Manuscript Facsimiles Inventory	/MMF	LSU	From Landing Page								138		CDM\120701user04; CDM\120701user23	
Native Flora of Louisiana - Watercolor drawings by Margaret Stones	/MSW	LSU	From Landing Page								238		CDM\120701user04; CDM\120701user23	
New Orleans Image Collections at the LSU Libraries	/NewOrleans	LSU	From Landing Page								61		CDM\120701user04; CDM\120701user23	
New Orleans Negative Exposures and Prints, circa 1900-1930	/NONegExposures	LSU	From Landing Page								65		CDM\120701user04; CDM\120701user23	
LSU Libraries Louisiana and Lower Mississippi Valley Collections	/p120701coll12	LSU	From Landing Page								347		CDM\120701user04; CDM\120701user23	
Sidonie de la Houssaye Collection	/p120701coll19	LSU	From Landing Page								5279		CDM\120701user04; CDM\120701user23	
T. Harry Williams Center for Oral History Military History Collection	/p120701coll22	LSU	From metadata								10		CDM\120701user04; CDM\120701user23	Published; unlisted. 
T. Harry Williams Center for Oral History University History Collection	/p120701coll23	LSU	From metadata								5		CDM\120701user04; CDM\120701user23	Published; unlisted. 
LSU University Archives Print Materials Collection	/p120701coll24	LSU	From Landing Page								218		CDM\120701user04; CDM\120701user23	
LSU TEST	/p120701coll6	LSU	Logical?								186		CDM\120701user04; CDM\120701user23	Unpublished; unlisted.
Civil War Context and Conflict at LSU Libraries	/p15140coll10	LSU	From Landing Page								4314		CDM\120701user04	Not listed on collection list, but is published. Harvested for Civil War in the American South.
LSU Libraries Political Papers Collection	/p15140coll11	LSU	Logical?								0		CDM\120701user04	Published; but empty and unlisted.
'Andrew D. Lytle's Baton Rouge' Photograph Collection	/p15140coll12	LSU	From Landing Page								799		CDM\120701user04 	
LSU Libraries Exhibitions	/p15140coll13	LSU	Logical?								0		CDM\120701user04	Empty; unpublished; unlisted.
T. Harry Williams Center for Oral History Political Collection	/p15140coll14	LSU	From metadata								17		CDM\120701user04	Published; unlisted. 
LSU Libraries Mardi Gras Collection	/p15140coll17	LSU	From Landing Page								431		CDM\120701user04 	
Hermann Moyse, Sr. World War I Collection	/p15140coll18	LSU	From Landing Page								1414		CDM\120701user04 	
T. Harry Williams Center for Oral History Presentations and Publications	/p15140coll20	LSU	Logical?								1		CDM\120701user04 	Unpublished; unlisted.
Louisiana Sea Grant Multimedia Collection	/p15140coll36	LSU		DELETE							0		CDM\120701user04	Empty; unpublished; unlisted.
Fonville Winans’ Aerial Views of Baton Rouge	/p15140coll46	LSU	From Landing Page								459		CDM\120701user04 	
William J. Thornton Music Collection	/p15140coll54	LSU	From Landing Page								60		CDM\120701user04 	
Sobre las Olas- Mexican Music from Nineteenth-Century New Orleans	/p15140coll56	LSU	From Landing Page								48		CDM\120701user04 	
LSU Libraries Postcard Collections	/p16313coll10	LSU	From Landing Page								1824		tudl; CDM\120701user04	
Louisiana Sugar Resources Digital Collection	/p16313coll31	LSU	From Landing Page								2618		CDM\120701user04	
Armand Duplantier Family Letters, LSU Libraries	/p16313coll34	LSU	From Landing Page								655		CDM\120701user04	
LSU Libraries Louisiana Waterways Management Collection	/p16313coll35	LSU	From Landing Page								267		CDM\120701user04	
Gumbo - Louisiana State University's Yearbook	/p16313coll50	LSU	Logical?	DELETE							38762		CDM\120701user04	Unpublished; unlisted.
Mingo Family African American Photographs, 1887-1955	/p16313coll54	LSU	From Landing Page								32		CDM\120701user04 	
Collection de caricatures et de charges pour servir à l'histoire de la guerre et	/p16313coll55	LSU	"From ""browse all"" page"								0		CDM\120701user04 	Not listed on collection list; not published
Col. Joseph S. Tate Photograph Album	/p16313coll56	LSU	From Landing Page								103		CDM\120701user04	
William Waller Survey Collection	/p16313coll57	LSU	From Landing Page								214		CDM\120701user04	
William Barth Photographs of Mississippi and Atchafalaya River operations	/p16313coll58	LSU	From Landing Page								249		CDM\120701user04	
LSU Music Resources Sheet Music Collection	/p16313coll69	LSU	From Landing Page								763		CDM\120701user04	
Doussan family papers, 1827-1872	/p16313coll76	LSU	From Landing Page								455		CDM\120701user04	
Louisiana Railroad Depot Photograph Collection	/p16313coll79	LSU	From Landing Page								129		CDM\120701user04	
Gras-Lauzin Family Papers	/p16313coll8	LSU	From Landing Page								357		CDM\120701user04	
Louisiana Runaway Slave Advertisements, 1836-1865	/p16313coll80	LSU	From Landing Page								354		CDM\120701user04 	Published; not listed (incomplete).
John B. Heroman, Sr. photograph collection, circa 1885-1940	/p16313coll81	LSU	From Landing Page								815		CDM\120701user04 	Unpublished; unlisted.
Lumières - A Publication of the Friends of the LSU Libraries	/p16313coll85	LSU	From Landing Page								60		CDM\120701user04	Published; unlisted
Edith Dabney Doll Collection	/p16313coll9	LSU	From Landing Page								416		CDM\120701user04	
Perine-Giles-Sartain Engravings, circa 19th century	/SartainEngravings	LSU	From Landing Page								76		CDM\120701user04; CDM\120701user23	
Tensas River National Wildlife Refuge Ivory Billed Woodpecker Records	/Tensas	LSU	From Landing Page								106		CDM\120701user04; CDM\120701user23	
T. Harry Williams Center for Oral History	/THW	LSU	From Landing Page								5		CDM\120701user04; CDM\120701user23	Published; unlisted. 
LSU Architectural Drawings by Theodore Link	/TLD	LSU	From Landing Page								163		CDM\120701user04	
Wright-Boyd Family Papers at LSU Libraries	/wri-boy	LSU	From Landing Page								20		CDM\120701user04; CDM\120701user23	Published; unlisted.
Louisiana State Aerial Photographs	/LSAP	LSU CIC	From Landing Page	LSU	From Landing Page						4699		CDM\120701user04; CDM\120701user23	
Hebert Nuremburg Files	/HNF	LSU Law Lib		DELETE							467		CDM\120701user05; CDM\120701user23	Unpublished; unlisted.
Caroline Wogan Durieux Works of Art	/CWD	LSU Museum of Art	From Landing Page								232		CDM\120701user04; CDM\120701user23	
Free People of Color in Louisiana	/p16313coll51	LSU; HNOC; Tulane; LSM; NOPL	From Landing Page	LSU		LSU					31938		CDM\120701user01; CDM\120701user13; kentw@hnoc.org; CDM\120701user15; sudap; CDM\120701user04	
Louisiana Purchase Bicentennial Collection	/lapur	LSU; NO City Archives; NOPL	From Landing Page	LSU		LSU	"From ""browse all"" page"				24553		CDM\120701user04; CDM\120701user23	
Louisiana Early English Corpus	/p15140coll41	LSU; Tulane 	"From ""browse all"" page"	LSU?	User list?	LSU	User list?				1161		CDM\120701user04	Should we change the landing page to show items are from LSU and Tulane? Should we have changed the header on this one?
Lettres de Louisiane	/p15140coll6	LSU; Tulane?	"From Item Metadata; From ""browse all"" page"	LSU?		LSU					174		CDM\120701user04	Should we change the landing page to show items are from LSU and Tulane? Did other schools participate? Should we have changed the header on this one?
Colville River Delta, Alaska Collection	/CRD	LSU?	From Landing Page								2142		CDM\120701user04; CDM\120701user23	Collection does not have LSU border, but does say that it was created by a professor at LSU?
Diacritics TEST Armand Duplantier Family Letters, LSU Libraries	/p16313coll32	LSU?	In Title	DELETE							641		CDM\120701user04	Not published; Not listed
Louisiana Department of Wildlife and Fisheries Documents - LSU Libraries	/p16313coll45	LSU?	From Landing Page	LSU	User list?						576		CDM\120701user04	"Some PDFs are showing up as links to download; ""partnership with LDWF,"" so does that mean we need to work with them on migration?"
The Daily Reveille - Louisiana State University	/p16313coll49	LSU?	Logical?	DELETE							0		CDM\120701user04 	Published; unlisted; no items.
Louisiana State University Agricultural Experiment Station Reports	/p16313coll77	LSU?	Logical?								0		CDM\120701user04	Published; but empty and unlisted.
Cenobium - LSU School of Veterinary Medicine's Yearbook	/p16313coll89	LSU?	From Landing Page	LSU	Logical?	LSU	Logical?				14		CDM\120701user04	Recently published and listed.
Louisiana Coastal Ecology, Richard J. Russell Collection	/RJR	LSU?	From Item Metadata	LSU	User list?						210		CDM\120701user04; CDM\120701user23	Some PDFs have broken thumbnails.
Aristides Agramonte Yellow Fever Collection	/LSUBK01	LSUHSCNO	From Landing Page								12058		CDM\120701user06	
LSU Health Sciences Center New Orleans Newspaper Clippings Collection	/LSUHSC_NCC	LSUHSCNO	From Landing Page								7665		CDM\120701user06; CDM\120701user23	
Charity Hospital Archive	/p120701coll20	LSUHSCNO	User list?								0		CDM\120701user06; CDM\120701user23	Collection Restricted/Unpublished
Graduation Programs of the LSU Health Sciences Center, New Orleans	/p120701coll26	LSUHSCNO	From Landing Page								2038		CDM\120701user06; CDM\120701user23	"Published, listed as ""LSU Medical Center, New Orleans - Graduation Programs."""
LSU School of Dentistry Historic Photographs	/p120701coll7	LSUHSCNO	From Landing Page								82		CDM\120701user06; CDM\120701user23	
Tiger Rag – Student newspapers of LSU School of Medicine, New Orleans	/p15140coll16	LSUHSCNO	From Landing Page								532		CDM\120701user06 	
William Branks Stewart Collection	/p15140coll19	LSUHSCNO	From Landing Page								29		CDM\120701user06	
History of Louisiana Dental Education Archives	/p15140coll2	LSUHSCNO	Email								7		CDM\120701user06; CDM\120701user23	Not published; Not listed
LSU Health Sciences Center New Orleans - Catalog and Bulletin	/p15140coll49	LSUHSCNO	From Landing Page								128		CDM\120701user06	
U.S. Army 64th General Hospital, organized by LSU Medical School	/p15140coll50	LSUHSCNO	From Landing Page								1112		CDM\120701user06	
The STAR- Radiating the Light of Truth on Hansen's Disease	/p15140coll52	LSUHSCNO	From Landing Page								661		CDM\120701user06 	
Lindy Boggs Collection	/p16313coll19	LSUHSCNO	From Landing Page								41		CDM\120701user06	
LSU Health Sciences Center Shreveport Photograph Collection	/LSUHSCS_GWM	LSUHSCS	Logical?								853		CDM\120701user07; CDM\120701user23	
John C. McDonald	/LSUHSCS_JCM	LSUHSCS	From URL?								1		CDM\120701user07; CDM\120701user23	Single item, no metadata. Unlisted.
LSU Health Sciences Center Shreveport Newspaper Clippings	/p15140coll23	LSUHSCS	Logical?								3421		CDM\120701user07	
LSU Health Sciences Center Shreveport Audiovisual Collection	/p15140coll44	LSUHSCS	Logical?								4		CDM\120701user07 	
LSU Health Sciences Center Shreveport Alumni Collection	/p16313coll3	LSUHSCS	Logical?								73		CDM\120701user07	Unpublished; unlisted.
Tom Bell Papers, 1895-1999	/LSUS_TBP	LSUS	From contact info and metadata								168		CDM\120701user08; CDM\120701user07; CDM\120701user23	Landing page not customized
Northwest Louisiana Map Collection	/NWM	LSUS	From metadata								71		CDM\120701user08; CDM\120701user07; CDM\120701user23	Published; unlisted
Strand Theater Collection	/STC	LSUS	From contact info and metadata								89		CDM\120701user08; CDM\120701user07; CDM\120701user23	Landing page not customized
Louisiana State Sovereignty Commission Pamphlets of the Civil Rights Era	/p120701coll14	McNeese	User List?	McNeese?	User list?						0		CDM\120701user09; CDM\120701user23	Published; but empty and unlisted.
McNeese State University Electronic Theses	/p16313coll74	McNeese	From Landing Page								90		CDM\120701user09	Published; unlisted
Historic Photographs of Southwest Louisiana	/PSL	McNeese	McNeese								5472		CDM\120701user09; CDM\120701user23	
LCOC - LOUIS Collection of Collections	/LOU	N/A	Logical?								202		CDM\120701user15; CDM\120701user04; CDM\120701user23	
LCOC Random image generator	/LOU_RANDOM	N/A	Logical?								98		CDM\120701user23	
Martin-Pugh Family Papers	/MPF	Nicholls	From metadata								6		CDM\120701user23	Published; unlisted
Veterans of Southeast Louisiana	/p15140coll51	Nicholls	From contact info and metadata								369		CDM\120701user19	Landing page not customized
Millspaugh Photographs	/MPA	NSU	From metadata								168		CDM\120701user10; CDM\120701user23	Landing page not customized.
Natchitoches Chamber of Commerce Collection	/NCC	NSU	From metadata								400		CDM\120701user10; CDM\120701user23	Landing page not customized.
Ben Treadaway WWII Shell Beach Collection	/BTW	Nunez Community College?	From Item Metadata	CDM\120701user11	User list?	???					64		CDM\120701user11; CDM\120701user23	Not listed on collection list, but is published. No edits to landing page or collection display. Some metadata appears to be missing.
Ogden Museum of Southern Art	/OMSA	Odgen	From Landing Page								486		CDM\120701user17; CDM\120701user23	
State Library of Louisiana Historic Photograph Collection	/LHP	State Library 	From Landing Page								10607		CDM\120701user12; CDM\120701user23	
Louisiana Works Progress Administration (WPA)	/LWP	State Library 	From Landing Page								10273		CDM\120701user12; CDM\120701user23	
Historic Louisiana Library Photographs	/p15140coll55	State Library 	User list?								0		CDM\120701user12	Empty; unpulished; unlisted.
Louisiana Documents of the State Library	/p16313coll67	State Library 	Logical?	State Library	User list?						0		CDM\120701user12	Published; but empty and unlisted.
Louisiana State Documents Digital Archive	/p267101coll4	State Library 	From Landing Page								15739		CDM\120701user12; CDM\120701user23	
Harper's Weekly Journal of Civilization and Frank Leslie's Illustrated Newspaper	/HWJ	SUBR	From Item Metadata								490		CDM\120701user14; CDM\120701user23	Listed on collection list, but when selected, nothing comes up.
Verla Birrell Textiles and Designs	/VBC	SUBR	From contact info and metadata								36		CDM\120701user14; CDM\120701user23	Landing page not customized
America at War	/AAW	TAHIL	From LDL Collections Page	Tulane	User list?	State Museum	"From ""browse all"" page"				1079		tudl; CDM\120701user13; kentw@hnoc.org	
America Between the Wars 1920-1940	/ABW	TAHIL	From LDL Collections Page	Tulane	User list?	State Museum	"From ""browse all"" page"				153		CDM\120701user23; tudl; CDM\120701user15; kentw@hnoc.org; sudap	
Antebellum Period	/APC	TAHIL	From Tulane's Collection Description (http://digold.tulane.edu/collection/id/37)	Tulane	User list?	State Museum	"From ""browse all"" page"				235		CDM\120701user13; kentw@hnoc.org; tudl; CDM\120701user23	
Baby Boom American Collection	/BBA	TAHIL	From Tulane's Collection Description (http://digold.tulane.edu/collection/id/38)	Tulane	User list?	State Museum	"From ""browse all"" page"				36		CDM\120701user13; kentw@hnoc.org; CDM\120701user15; sudap; CDM\120701user23	
Huey P. Long Collection	/HPL	TAHIL	From Landing Page			McNeese	"From ""browse all"" page"				213		CDM\120701user09; kentw@hnoc.org; nigelgbanks; CDM\120701user15; sudap; CDM\120701user23	
Louisiana Purchase and Louisiana Colonial History	/LPC	TAHIL	"From ""browse all"" page"			LSM?	"From ""browse all"" page"				337		CDM\120701user01; tudl; kentw@hnoc.org; CDM\120701user15; sudap; CDM\120701user23	
Reconstruction Through Progressivism Collection	/RTP	TAHIL?	User List?			LSM?	From contact info				18		kentw@hnoc.org; CDM\120701user13; sudap; CDM\120701user15; CDM\120701user23	Landing page not customized. Collection includes items from State Museum, State Archives, HNOC and Tulane.
Teaching American History Collection	/TAH	TAHIL?	Logical?			HNOC?	User list?				51		CDM\120701user01; kentw@hnoc.org; CDM\120701user23	Unpublished; unlisted. [lesson plans]
American Missionary Association Photographs, 1839-1954	/AMA	Tulane	From Landing Page								3342		CDM\120701user15; sudap	
Tulane University	/HTU	Tulane	Logical?								241		sudap; CDM\120701user23; CDM\120701user15	Published; unlisted.
Lippman Collection of Civil War Postal Covers	/p15140coll15	Tulane	From Landing Page								40		sudaptudl; nigelgbanks; CDM\120701user15; 	
Matas Health Sciences Library Historic Photographs	/p15140coll24	Tulane	From banner								67		tudl; nigelgbanks; CDM\120701user15; sudap	Unpublished; unlisted.
Charity Hospital Reports	/p15140coll25	Tulane	From Landing Page								114		nigelgbanks; CDM\120701user15; sudap	
